county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Abbeville County, SC", SC,Abbeville County SC,511.8566801,15.3,0.445417,42.1,60.7,80.7,61.9,61.35,32,670,76.96,24527,34108,14.8,2.8,13.39,3177,2662,5892,6326,18070.39,47,21,64,40,9,84,88
"Acadia Parish, LA", LA,Acadia Parish LA,163.9765931,20.7,0.355956,50.1,67.9,82.2,69.6,67.45,24.3,1705,74.23,62045,37304,20.3,3,13.3,3177,3042,6432,5216,17880.3,50,4,92,89,58,71,84
"Accomack County, VA", VA,Accomack County VA,190.0567153,17.6,0.539878,37.8,55.7,78.8,60.8,58.275,25.3,1041,75.99,32316,42764,16.4,5.7,13.35,3177,2866,6408,5520,17984.35,48,32,76,85,50,46,23
"Ada County, ID", ID,Ada County ID,206.5004418,7.7,0.256622,31.2,50.8,75.2,52.7,52.475,34.3,13893,80.75,481587,52958,9.4,3.5,14.29,3792,2470,7356,6590,20222.29,18,57,9,24,46,15,73
"Adair County, IA", IA,Adair County IA,66.91648822,10.8,0.054921,23.1,51.8,75.4,53.7,51,35.2,166,79.44,7152,51989,10.7,2.4,13.55,3246,2791,5964,6243,18257.55,42,64,25,19,87,17,94
"Adair County, KY", KY,Adair County KY,96.09224856,22.1,0.120703,33.8,54.1,75.2,56,54.775,24.9,501,76.84,19202,31288,21.4,4,13.12,3177,3022,5712,5572,17496.12,59,47,65,86,79,93,61
"Adair County, MO", MO,Adair County MO,215.0789926,17.9,0.148385,25,51.3,75.2,53.2,51.175,24.6,514,77.97,25343,33578,19.2,5.3,12.71,3246,2681,5064,5497,16500.71,87,62,49,88,45,86,29
"Adair County, OK", OK,Adair County OK,310.8948364,22.3,0.614293,36.6,58.2,78.5,59.4,58.175,22.6,488,73.87,22194,28862,23.6,4.1,13.18,3177,2646,6312,5472,17620.18,57,32,94,94,26,97,58
"Adams County, CO", CO,Adams County CO,336.3221531,9.4,0.572274,30.5,48.4,74,51,50.975,30.9,22029,80.02,517421,43315,9.3,3.7,17.4,3792,2810,13368,6726,26713.4,2,64,17,48,23,43,68
"Adams County, IA", IA,Adams County IA,385.2080123,10.8,0.058873,22.1,49.5,74.3,52,49.475,39.1,77,78.96,3602,66319,12.5,2.5,13.55,3246,2791,5964,6243,18257.55,42,71,33,5,17,4,93
"Adams County, ID", ID,Adams County ID,26.12330199,13.7,0.120523,22.6,44.5,68,46.1,45.3,34.2,164,80.6,4294,37452,12.7,2.9,13.65,3792,2470,6312,6307,18894.65,32,86,10,24,97,70,86
"Adams County, IL", IL,Adams County IL,303.8879785,10.7,0.140617,26.1,52.9,76.2,54.8,52.5,32.1,1972,78.7,65435,46886,12.3,4.4,13.55,3246,2862,6804,5343,18268.55,42,57,37,39,27,30,49
"Adams County, IN", IN,Adams County IN,23.11203559,11.8,0.110617,25.1,49.8,73.8,52.7,50.35,28.7,935,79.72,35777,39167,12.6,6,12.82,3246,2848,6000,4625,16731.82,83,67,21,65,98,62,19
"Adams County, MS", MS,Adams County MS,246.1826114,27.2,0.565573,47.9,64.9,80.7,65.8,64.825,27.4,1168,74.09,30693,33880,27.9,2.7,13.03,3177,2724,6108,5284,17306.03,66,10,93,74,38,85,90
"Adams County, ND", ND,Adams County ND,131.7706338,10.8,0.087482,16.6,42.3,69.5,43.8,43.05,34.6,38,79.33,2216,59197,10.7,2.6,13.11,3246,2632,7308,4135,17334.11,66,93,27,22,68,8,91
"Adams County, NE", NE,Adams County NE,183.4862385,10.2,0.219552,25.4,50.4,76.2,52.3,51.075,37.6,670,79.59,31363,49139,10.6,2.8,12.89,3246,2783,5460,5385,16886.89,78,63,23,9,53,24,88
"Adams County, OH", OH,Adams County OH,67.60362925,20.6,0.062672,28.9,51.1,72.2,52.7,51.225,22.5,1013,75.15,27698,34632,19.1,4,13.34,3246,2720,6768,5065,17812.34,53,62,84,94,87,82,61
"Adams County, PA", PA,Adams County PA,112.2643925,8,0.185165,29.5,51.1,74.4,53.6,52.15,26.6,3742,79.85,103009,49173,7.6,4.8,12.97,3690,2729,7680,3763,17874.97,50,58,19,78,74,23,39
"Adams County, WA", WA,Adams County WA,230.7651964,12.7,0.489189,30.7,48.4,69.7,49.3,49.525,24,677,79.19,19983,42800,16.8,3.1,12.95,3792,2206,7680,3758,17448.95,62,71,29,90,42,45,82
"Adams County, WI", WI,Adams County WI,112.3046875,12.3,0.174593,15.1,44.9,70.5,47.6,44.525,31.1,766,77.77,20220,38736,11.6,3,13.51,3246,2754,6180,5975,18168.51,45,89,52,47,74,64,84
"Addison County, VT", VT,Addison County VT,59.79723302,8.4,0.120942,17.9,43.8,68.8,47,44.375,24.8,989,80.8,36777,51805,7.9,3.3,14.09,3690,2760,8616,5129,20209.09,18,89,8,87,89,17,78
"Aiken County, SC", SC,Aiken County SC,331.3517201,13,0.482243,43.8,63.4,82,63.5,63.175,28.8,3788,77.12,170872,42511,12.5,4.1,14.84,3177,2662,8268,6956,21077.84,14,15,62,65,24,47,58
"Aitkin County, MN", MN,Aitkin County MN,139.7535256,11.1,0.107822,9,41.3,67.8,44.3,40.6,36.3,603,80.35,15886,39780,12.5,4.1,14.11,3246,2696,6888,6583,19427.11,25,97,12,14,66,60,58
"Alachua County, FL", FL,Alachua County FL,605.2451953,17.2,0.547155,53.9,67.3,81.1,70.5,68.2,28.1,7235,78.64,269043,44390,18.4,3.1,13.64,3177,2792,8652,3959,18593.64,35,3,38,69,5,39,82
"Alamance County, NC", NC,Alamance County NC,436.5907059,15.1,0.5098,38.7,58.8,78.5,59.2,58.8,33.8,5832,77.66,169509,39342,14.6,2.5,13.73,3177,2728,7212,5640,18770.73,33,30,53,27,13,62,93
"Alameda County, CA", CA,Alameda County CA,753.6935735,8.6,0.740399,49.1,58.2,68.1,62.9,59.575,23.5,71396,81.46,1671329,76644,8.9,2.8,21.88,3792,2545,17856,11821,36035.88,0,27,4,92,2,1,88
